,weather_station,wban,report_type,latitude,longitude,elevation,wind_direction,wind_observation_direction_type,wind_speed,sky_ceiling,sky_ceiling_determination,visibility_distance,visibility_variability,visibility_variability_quality,dew_point,sea_level_pressure,air_temperature,humidity,precipitation_hours,precipitation_depth,cl_1_coverage,cl_1_base_height,cl_1_cloud_type,cl_2_coverage,cl_2_base_height,cl_2_cloud_type,cl_3_coverage,cl_3_base_height,cl_3_cloud_type,solar_irradiance
2021-01-01 00:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,340,,2.6,MISSING,9,MISSING,9,9,-0.3,1009.5,-0.1,99.0,6.0,0.0,8.0,91.0,19.0,,,,,,,
2021-01-01 00:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,330,,2.1,30,C,3400,9,9,-1.0,MISSING,0.0,93.0,,,,,,,,,,,,
2021-01-01 00:50:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.279,-0.771,65,330,,2.1,MISSING,9,MISSING,9,9,-0.5,1009.6,-0.2,98.0,,,,,,,,,,,,
2021-01-01 00:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,330,,2.1,30,C,3600,9,9,-1.0,MISSING,0.0,93.0,,,,,,,,,,,,
2021-01-01 01:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,330,,2.1,MISSING,9,MISSING,9,9,-0.5,1009.6,-0.3,99.0,,,,,,,,,,,,
2021-01-01 01:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,360,,2.1,61,C,5000,9,9,-1.0,MISSING,-1.0,100.0,,,,,,,,,,,,
2021-01-01 01:50:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.279,-0.771,65,360,,1.0,MISSING,9,MISSING,9,9,-0.6,1009.9,-0.5,99.0,,,,,,,,,,,,
2021-01-01 01:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,MISSING,,1.0,MISSING,9,1100,9,9,-1.0,MISSING,-1.0,100.0,,,,,,,,,,,,
2021-01-01 02:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,360,,1.0,MISSING,9,MISSING,9,9,-0.6,1009.9,-0.5,99.0,,,,,,,,,,,,
2021-01-01 02:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,MISSING,,1.5,MISSING,9,900,9,9,-1.0,MISSING,0.0,93.0,,,,,,,,,,,,
2021-01-01 02:50:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.279,-0.771,65,320,,1.5,MISSING,9,MISSING,9,9,-0.7,1010.5,-0.5,99.0,,,,,,,,,,,,
2021-01-01 02:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,MISSING,,1.5,30,C,1200,9,9,-1.0,MISSING,-1.0,100.0,,,,,,,,,,,,
2021-01-01 03:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,320,,1.5,MISSING,9,MISSING,9,9,-0.7,1010.5,-0.6,99.0,,,,,,,,,,,,
2021-01-01 03:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,290,,2.6,30,C,1200,9,9,-1.0,MISSING,-1.0,100.0,,,,,,,,,,,,
2021-01-01 03:50:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.279,-0.771,65,290,,2.1,MISSING,9,MISSING,9,9,-1.0,1010.4,-1.0,100.0,,,,,,,,,,,,
2021-01-01 03:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,300,,2.1,MISSING,9,550,9,9,-1.0,MISSING,-1.0,100.0,,,,,,,,,,,,
2021-01-01 04:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,290,,2.1,MISSING,9,MISSING,9,9,-1.0,1010.4,-1.0,100.0,,,,,,,,,,,,
2021-01-01 04:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,330,,1.5,MISSING,9,700,9,9,-1.0,MISSING,-1.0,100.0,,,,,,,,,,,,
2021-01-01 04:50:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.279,-0.771,65,300,,2.6,MISSING,9,MISSING,9,9,-1.1,1010.4,-1.0,99.0,,,,,,,,,,,,
2021-01-01 04:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,300,,2.6,MISSING,9,550,9,9,-2.0,MISSING,-1.0,93.0,,,,,,,,,,,,
2021-01-01 05:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,300,,2.6,MISSING,9,MISSING,9,9,-1.1,1010.4,-1.1,100.0,,,,,,,,,,,,
2021-01-01 05:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,310,,2.6,MISSING,9,600,9,9,-2.0,MISSING,-1.0,93.0,,,,,,,,,,,,
2021-01-01 05:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,MISSING,,1.5,MISSING,9,750,9,9,-2.0,MISSING,-1.0,93.0,,,,,,,,,,,,
2021-01-01 06:00:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.283,-0.767,64,290,,1.5,MISSING,9,MISSING,9,9,-1.3,1010.5,-1.3,100.0,12.0,0.0,,,,,,,,,,
2021-01-01 06:20:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,300,,3.1,30,C,1100,9,9,-2.0,MISSING,-2.0,100.0,,,,,,,,,,,,
2021-01-01 06:50:00,037680,99999,SYNOP Report of surface observation form a fixed land station,51.279,-0.771,65,290,,2.1,MISSING,9,MISSING,9,9,-1.5,1011.1,-1.5,100.0,,,,,,,,,,,,
2021-01-01 06:50:00,037680,99999,METAR Aviation routine weather report,51.276,-0.776,73,290,,2.1,30,C,1400,9,9,-2.0,MISSING,-2.0,100.0,,,,,,,,,,,,
