,Date_x,visibility_distance_max,Day,air_temperature_max,humidity_mean,Start Date,Start Time,End Date,End Time,Sleep Quality,Regularity,Alarm mode,City,Movements per hour,Time in bed (seconds),Time asleep (seconds),Time before sleep (seconds),Window start,Window stop,Did snore,Snore time,Date_y,Steps,Moon Position,Day_0,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6
0,2019-12-24,60000.0,1,11.0,86.20833333333333,2019-12-24,22:27:42,2019-12-25,06:54:53,0.86,0.73,Normal,,17.6,30430.2,27488.6,1521.5,2019-12-25 06:40:00,2019-12-25 06:55:00,True,0.0,2019-12-24,1155,0.91,0,1,0,0,0,0,0
1,2019-12-25,65000.0,2,8.4,86.13888888888889,2019-12-25,23:05:37,2019-12-26,08:29:54,0.88,0.82,Normal,,39.9,33856.3,28890.7,1241.4,2019-12-26 08:15:00,2019-12-26 08:30:00,True,0.0,2019-12-25,1267,0.944,0,0,1,0,0,0,0
2,2019-12-26,50000.0,3,10.3,91.625,2019-12-26,23:00:29,2019-12-27,07:32:20,0.9,0.86,Normal,,27.5,30710.7,28151.5,1535.5,2019-12-27 07:25:00,2019-12-27 07:40:00,True,0.0,2019-12-26,241,0.978,0,0,0,1,0,0,0
3,2019-12-27,26000.0,4,8.0,92.45833333333333,2019-12-27,22:44:54,2019-12-28,07:30:47,0.92,0.9,Normal,,23.9,31553.8,28819.1,1157.0,2019-12-28 07:15:00,2019-12-28 07:30:00,True,0.0,2019-12-27,5310,0.012,0,0,0,0,1,0,0
4,2019-12-29,28000.0,6,9.0,88.09722222222223,2019-12-29,01:15:26,2019-12-29,08:15:27,0.78,0.87,Normal,,25.8,25201.2,22093.1,1092.1,2019-12-29 08:00:00,2019-12-29 08:15:00,True,0.0,2019-12-29,1115,0.08,0,0,0,0,0,0,1
5,2019-12-30,21000.0,0,11.0,92.72727272727273,2019-12-30,00:17:40,2019-12-30,08:30:37,0.85,0.87,Normal,,27.5,29577.3,27408.3,197.2,2019-12-30 08:15:00,2019-12-30 08:30:00,True,0.0,2019-12-30,1028,0.113,1,0,0,0,0,0,0
6,2019-12-31,18000.0,1,9.1,91.49152542372882,2019-12-31,00:20:16,2019-12-31,08:30:31,0.77,0.87,Normal,,36.5,29414.8,24904.5,1568.8,2019-12-31 08:15:00,2019-12-31 08:30:00,True,0.0,2019-12-31,5112,0.147,0,1,0,0,0,0,0
7,2019-12-31,18000.0,1,9.1,91.49152542372882,2019-12-31,22:48:35,2020-01-01,07:19:59,0.89,0.89,Normal,,27.6,30684.4,27718.2,1738.8,2020-01-01 07:05:00,2020-01-01 07:20:00,True,0.0,2019-12-31,5112,0.147,0,1,0,0,0,0,0
8,2020-01-01,19000.0,2,6.5,92.11111111111111,2020-01-01,13:12:42,2020-01-01,13:58:44,0.1,0.47,Normal,,0.0,2762.2,2743.8,18.4,2020-01-01 13:45:00,2020-01-01 14:00:00,True,0.0,2020-01-01,1865,0.181,0,0,1,0,0,0,0
9,2020-01-02,35000.0,3,10.1,90.86111111111111,2020-01-02,00:21:44,2020-01-02,08:29:40,0.8,0.85,Normal,,31.4,29276.0,26933.9,1561.4,2020-01-02 08:15:00,2020-01-02 08:30:00,True,0.0,2020-01-02,2342,0.215,0,0,0,1,0,0,0
10,2020-01-02,35000.0,3,10.1,90.86111111111111,2020-01-02,22:41:07,2020-01-03,07:59:46,0.83,0.79,Normal,,34.7,33518.5,30166.6,2346.3,2020-01-03 07:45:00,2020-01-03 08:00:00,True,0.0,2020-01-02,2342,0.215,0,0,0,1,0,0,0
11,2020-01-03,45000.0,4,11.0,81.23611111111111,2020-01-03,22:49:05,2020-01-04,07:55:01,0.73,0.86,Normal,,43.8,32755.7,29152.6,218.4,2020-01-04 07:40:00,2020-01-04 07:55:00,True,0.0,2020-01-03,974,0.249,0,0,0,0,1,0,0
12,2020-01-04,60000.0,5,8.5,85.09722222222223,2020-01-04,23:03:27,2020-01-05,07:54:44,0.82,0.93,Normal,,37.3,31876.4,24969.8,2125.1,2020-01-05 07:40:00,2020-01-05 07:55:00,True,0.0,2020-01-04,4398,0.283,0,0,0,0,0,1,0
13,2020-01-05,65000.0,6,8.4,86.06944444444444,2020-01-05,22:56:48,2020-01-06,06:10:24,0.87,0.94,Normal,,19.0,26015.7,21853.1,1994.5,2020-01-06 05:55:00,2020-01-06 06:10:00,True,0.0,2020-01-05,4142,0.317,0,0,0,0,0,0,1
14,2020-01-06,50000.0,0,9.0,83.72222222222223,2020-01-06,23:01:24,2020-01-07,07:30:08,0.81,0.9,Normal,,35.1,30524.7,27472.2,1322.7,2020-01-07 07:15:00,2020-01-07 07:30:00,True,0.0,2020-01-06,3054,0.35,1,0,0,0,0,0,0
15,2020-01-07,18000.0,1,12.1,93.27777777777777,2020-01-07,22:10:51,2020-01-08,05:54:48,0.66,0.84,Normal,,42.6,27836.9,25424.4,185.6,2020-01-08 05:40:00,2020-01-08 05:55:00,True,0.0,2020-01-07,4924,0.384,0,1,0,0,0,0,0
16,2020-01-08,55000.0,2,12.1,88.69014084507042,2020-01-08,22:33:02,2020-01-09,06:05:31,0.8,0.88,Normal,,29.1,27148.6,25881.7,181.0,2020-01-09 05:50:00,2020-01-09 06:05:00,True,0.0,2020-01-08,3902,0.418,0,0,1,0,0,0,0
17,2020-01-09,45000.0,3,12.6,87.69014084507042,2020-01-09,22:48:13,2020-01-10,07:29:59,0.85,0.87,Normal,,34.2,31306.2,27340.7,939.2,2020-01-10 07:15:00,2020-01-10 07:30:00,True,0.0,2020-01-09,2609,0.452,0,0,0,1,0,0,0
