Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°C);Weather type;Notes
2016-12-30 22:28:54;2016-12-31 08:36:45;93%;0%;;0;328;Normal;0.0;Shepton Mallet;80.9;36471.0;28325.8;1702.0;2016-12-31 08:30:00;2016-12-31 09:00:00;false;0.0;0.0;No weather;
2017-01-01 00:22:06;2017-01-01 09:55:48;100%;0%;;0;1954;No alarm;0.0;Woking;57.9;34422.1;27078.8;917.9;;;false;0.0;0.0;No weather;
2017-01-01 23:58:44;2017-01-02 09:08:11;100%;90%;;0;64;No alarm;0.0;Woking;53.0;32967.3;27582.7;1318.7;;;false;0.0;0.0;No weather;
2017-01-02 22:31:06;2017-01-03 06:41:32;97%;79%;;0;149;Normal;0.0;;34.0;29426.2;23933.3;3825.4;2017-01-03 06:30:00;2017-01-03 06:45:00;false;0.0;0.0;No weather;
2017-01-03 23:10:21;2017-01-04 06:42:05;87%;84%;;0;8904;Normal;0.0;;32.5;27104.4;22677.3;1807.0;2017-01-04 06:30:00;2017-01-04 06:45:00;false;0.0;0.0;No weather;
2017-01-04 23:03:12;2017-01-05 06:42:34;85%;87%;;0;8384;Normal;0.0;Woking;37.4;27562.0;24989.6;1102.5;2017-01-05 06:30:00;2017-01-05 06:45:00;false;0.0;0.0;No weather;
2017-01-05 23:00:45;2017-01-06 06:42:16;86%;98%;;0;8361;Normal;0.0;;35.7;27691.4;24460.8;923.0;2017-01-06 06:30:00;2017-01-06 06:45:00;false;0.0;0.0;No weather;
2017-01-06 23:48:43;2017-01-07 09:40:14;96%;89%;;0;6314;Normal;0.0;Woking;42.1;35490.8;32533.2;236.6;2017-01-07 09:25:00;2017-01-07 09:40:00;false;0.0;0.0;No weather;
2017-01-08 00:11:07;2017-01-08 12:05:51;76%;82%;;0;954;No alarm;0.0;Woking;76.2;42884.3;39024.7;285.9;;;false;0.0;0.0;No weather;
2017-01-08 22:33:05;2017-01-09 06:39:36;77%;62%;;0;109;Normal;0.0;;62.4;29191.6;22282.9;3892.2;2017-01-09 06:25:00;2017-01-09 06:40:00;false;0.0;0.0;No weather;
2017-01-09 21:48:49;2017-01-10 06:39:09;92%;71%;;0;6973;Normal;0.0;;49.9;31819.2;25773.6;2121.3;2017-01-10 06:25:00;2017-01-10 06:40:00;false;0.0;0.0;No weather;
2017-01-10 21:56:32;2017-01-11 06:42:24;100%;78%;;0;9121;Normal;0.0;Woking;35.2;31551.8;25346.6;2524.1;2017-01-11 06:30:00;2017-01-11 06:45:00;false;0.0;0.0;No weather;
2017-01-11 22:11:58;2017-01-12 06:43:10;93%;97%;;0;5965;Normal;0.0;Woking;41.3;30671.3;26275.0;1840.3;2017-01-12 06:30:00;2017-01-12 06:45:00;false;0.0;0.0;No weather;
2017-01-12 22:52:38;2017-01-13 06:42:21;82%;97%;;0;6564;Normal;0.0;Woking;47.0;28182.7;22734.1;1784.9;2017-01-13 06:30:00;2017-01-13 06:45:00;false;0.0;0.0;No weather;
2017-01-15 00:17:42;2017-01-15 08:43:53;86%;83%;;0;346;No alarm;0.0;Woking;49.7;30371.2;22575.9;1214.8;;;false;0.0;0.0;No weather;
2017-01-15 23:15:26;2017-01-16 06:44:47;77%;73%;;0;540;Normal;0.0;Woking;48.7;26960.8;22916.7;1078.4;2017-01-16 06:30:00;2017-01-16 06:45:00;false;0.0;0.0;No weather;
2017-01-16 22:38:17;2017-01-17 06:43:51;91%;85%;;0;9123;Normal;0.0;Woking;36.9;29134.0;26414.8;1456.7;2017-01-17 06:30:00;2017-01-17 06:45:00;false;0.0;0.0;No weather;
2017-01-17 22:31:46;2017-01-18 06:48:33;93%;89%;;0;8516;Normal;0.0;;37.4;29806.8;25236.4;1788.4;2017-01-18 06:35:00;2017-01-18 06:50:00;false;0.0;0.0;No weather;
2017-01-18 22:11:19;2017-01-19 06:49:37;91%;97%;;0;6125;Normal;0.0;Woking;44.9;31098.4;26433.6;829.3;2017-01-19 06:35:00;2017-01-19 06:50:00;false;0.0;0.0;No weather;
2017-01-19 23:24:15;2017-01-20 08:27:17;92%;91%;;0;6796;No alarm;0.0;;48.6;32581.5;29431.9;217.2;;;false;0.0;0.0;No weather;Stressful day:Swam
2017-01-20 23:32:55;2017-01-21 08:10:47;88%;90%;;0;531;Normal;0.0;Woking;49.1;31071.2;26928.4;207.1;2017-01-21 09:20:00;2017-01-21 09:35:00;false;0.0;0.0;No weather;Stressful day
2017-01-22 00:10:55;2017-01-22 09:24:49;80%;86%;;0;515;Normal;0.0;Woking;63.3;33233.5;27916.1;221.6;2017-01-22 10:20:00;2017-01-22 10:35:00;false;0.0;0.0;No weather;
2017-01-22 22:29:04;2017-01-23 06:44:41;80%;82%;;0;349;Normal;0.0;;55.3;29736.7;24780.6;1486.8;2017-01-23 06:30:00;2017-01-23 06:45:00;false;0.0;0.0;No weather;
2017-01-23 22:26:57;2017-01-24 06:49:50;89%;82%;;0;8707;Normal;0.0;Woking;44.8;30172.1;24942.3;2011.5;2017-01-24 06:35:00;2017-01-24 06:50:00;false;0.0;0.0;No weather;
2017-01-24 21:49:55;2017-01-25 06:43:49;100%;86%;;0;9149;Normal;0.0;;27.5;32033.9;28937.3;2028.8;2017-01-25 06:30:00;2017-01-25 06:45:00;false;0.0;0.0;No weather;
2017-01-25 22:40:23;2017-01-26 06:40:05;85%;95%;;0;5600;Normal;0.0;Woking;43.6;28781.2;23888.4;1247.2;2017-01-26 06:30:00;2017-01-26 06:45:00;false;0.0;0.0;No weather;
2017-01-26 22:33:48;2017-01-27 06:49:45;89%;95%;;0;6792;Normal;0.0;Woking;42.7;29756.8;26582.8;198.4;2017-01-27 06:35:00;2017-01-27 06:50:00;false;0.0;0.0;No weather;Stressful day:Swam
2017-01-27 23:39:42;2017-01-28 08:20:29;95%;89%;;0;6129;Normal;0.0;;39.9;31246.8;29059.6;208.3;2017-01-28 09:10:00;2017-01-28 09:25:00;false;0.0;0.0;No weather;
2017-01-29 00:05:20;2017-01-29 10:24:48;89%;85%;;0;550;Normal;0.0;Woking;51.6;37168.0;31840.6;247.8;2017-01-29 10:10:00;2017-01-29 10:25:00;false;0.0;0.0;No weather;
2017-01-30 00:24:30;2017-01-30 06:49:04;70%;75%;;0;126;Normal;0.0;Woking;40.3;23073.8;18228.3;1384.4;2017-01-30 06:35:00;2017-01-30 06:50:00;false;0.0;0.0;No weather;
2017-01-30 22:12:01;2017-01-31 06:49:33;98%;76%;;0;8850;Normal;0.0;Woking;36.1;31051.7;25151.9;1552.6;2017-01-31 06:35:00;2017-01-31 06:50:00;false;0.0;0.0;No weather;
2017-01-31 22:39:33;2017-02-01 06:49:36;81%;82%;;0;9111;Normal;0.0;Woking;50.5;29403.1;21758.3;1862.2;2017-02-01 06:35:00;2017-02-01 06:50:00;false;0.0;0.0;No weather;
2017-02-01 22:29:33;2017-02-02 06:49:43;85%;92%;;0;6603;Normal;0.0;Woking;47.8;30010.3;23107.9;900.3;2017-02-02 06:35:00;2017-02-02 06:50:00;false;0.0;0.0;No weather;
2017-02-02 23:10:00;2017-02-03 06:49:50;79%;96%;;0;9012;Normal;0.0;Woking;46.1;27589.5;25382.3;919.6;2017-02-03 06:35:00;2017-02-03 06:50:00;false;0.0;0.0;No weather;Swam
2017-02-03 23:07:02;2017-02-04 09:12:56;94%;91%;;0;5923;Normal;0.0;Woking;45.7;36354.4;28235.2;1211.8;2017-02-04 09:20:00;2017-02-04 09:35:00;false;0.0;0.0;No weather;
2017-02-05 00:44:37;2017-02-05 09:30:40;83%;86%;;0;607;Normal;0.0;;54.3;31562.4;25986.4;1578.1;2017-02-05 16:20:00;2017-02-05 16:35:00;false;0.0;0.0;No weather;
2017-02-05 23:20:45;2017-02-06 06:50:26;77%;77%;;0;1185;Normal;0.0;Woking;46.5;26981.6;24553.2;1169.2;2017-02-06 06:35:00;2017-02-06 06:50:00;false;0.0;0.0;No weather;
2017-02-07 22:19:52;2017-02-08 06:50:07;99%;79%;;0;8212;Normal;0.0;Woking;34.9;30614.1;26226.1;1530.7;2017-02-08 06:35:00;2017-02-08 06:50:00;false;0.0;0.0;No weather;
2017-02-08 22:09:16;2017-02-09 06:50:25;99%;95%;;0;8901;Normal;0.0;Woking;36.6;31269.6;26474.9;1146.6;2017-02-09 06:35:00;2017-02-09 06:50:00;false;0.0;0.0;No weather;
2017-02-09 22:19:53;2017-02-10 06:50:34;100%;98%;;0;9229;Normal;0.0;Woking;30.0;30640.7;29415.1;204.3;2017-02-10 06:35:00;2017-02-10 06:50:00;false;0.0;0.0;No weather;Swam
2017-02-10 22:48:09;2017-02-11 07:42:39;97%;95%;;0;5713;Normal;0.0;Woking;40.8;32070.1;25442.3;213.8;2017-02-11 09:15:00;2017-02-11 09:30:00;false;0.0;0.0;No weather;
2017-02-11 23:03:06;2017-02-12 09:35:39;76%;90%;;0;293;Normal;0.0;Woking;62.7;37953.3;34411.0;2277.2;2017-02-12 10:15:00;2017-02-12 10:30:00;false;0.0;0.0;No weather;
2017-02-12 23:52:47;2017-02-13 08:41:02;72%;86%;;0;382;Normal;0.0;;66.6;31694.5;26623.4;1584.7;2017-02-13 10:15:00;2017-02-13 10:30:00;false;0.0;0.0;No weather;
2017-02-13 22:21:56;2017-02-14 08:59:08;80%;84%;;0;872;Normal;0.0;Woking;60.4;38232.1;31350.4;254.9;2017-02-14 11:15:00;2017-02-14 11:30:00;false;0.0;0.0;No weather;
2017-02-14 23:50:37;2017-02-15 08:31:41;88%;85%;;0;1345;Normal;0.0;Woking;48.6;31264.2;26053.5;937.9;2017-02-15 09:15:00;2017-02-15 09:30:00;false;0.0;0.0;No weather;
2017-02-15 23:31:05;2017-02-16 11:21:11;64%;81%;;0;2028;Normal;0.0;Woking;79.7;42606.2;36073.2;284.0;2017-02-16 11:15:00;2017-02-16 11:30:00;false;0.0;0.0;No weather;
2017-02-17 01:08:02;2017-02-17 09:45:48;78%;77%;;0;162;Normal;0.0;Woking;60.0;31065.8;27441.5;207.1;2017-02-17 10:15:00;2017-02-17 10:30:00;false;0.0;0.0;No weather;
2017-02-17 23:05:32;2017-02-18 09:28:06;82%;76%;;0;4585;Normal;0.0;Woking;60.1;37353.8;28139.8;1992.2;2017-02-18 10:15:00;2017-02-18 10:30:00;false;0.0;0.0;No weather;
2017-02-19 21:27:07;2017-02-20 06:29:45;95%;71%;;0;718;Normal;0.0;Woking;46.1;32558.0;27674.3;3689.9;2017-02-20 06:15:00;2017-02-20 06:30:00;false;0.0;0.0;No weather;
2017-02-20 21:31:29;2017-02-21 06:30:09;97%;80%;;0;8302;Normal;0.0;Woking;43.3;32320.3;26287.2;2154.7;2017-02-21 06:15:00;2017-02-21 06:30:00;false;0.0;0.0;No weather;
2017-02-21 21:44:20;2017-02-22 06:30:03;88%;99%;;0;10041;Normal;0.0;Woking;51.0;31542.3;25023.6;1472.0;2017-02-22 06:15:00;2017-02-22 06:30:00;false;0.0;0.0;No weather;
2017-02-22 21:56:11;2017-02-23 06:29:16;85%;99%;;0;8851;Normal;0.0;Woking;51.0;30785.4;22781.2;2052.4;2017-02-23 06:15:00;2017-02-23 06:30:00;false;0.0;0.0;No weather;
2017-02-23 22:26:38;2017-02-24 06:40:09;73%;97%;;0;9194;Normal;0.0;Woking;62.2;29611.6;24380.3;3652.1;2017-02-24 06:25:00;2017-02-24 06:40:00;false;0.0;0.0;No weather;Swam
2017-02-24 21:56:36;2017-02-25 09:09:01;97%;89%;;0;5904;Normal;0.0;;44.1;40344.9;35100.1;1479.3;2017-02-25 09:25:00;2017-02-25 09:40:00;false;0.0;0.0;No weather;Stressful day
2017-02-25 23:03:59;2017-02-26 08:56:17;77%;86%;;0;1446;Normal;0.0;Woking;65.7;35537.3;34115.8;236.9;2017-02-26 10:25:00;2017-02-26 10:40:00;false;0.0;0.0;No weather;
2017-02-26 22:19:00;2017-02-27 06:39:41;68%;80%;;0;1191;Normal;0.0;;70.0;30041.5;24133.3;3104.3;2017-02-27 06:25:00;2017-02-27 06:40:00;false;0.0;0.0;No weather;
2017-02-27 22:23:32;2017-02-28 06:39:50;84%;88%;;0;7339;Normal;0.0;;50.8;29777.7;22134.7;1091.8;2017-02-28 06:25:00;2017-02-28 06:40:00;false;0.0;0.0;No weather;
2017-02-28 21:52:55;2017-03-01 06:40:39;86%;90%;;0;8790;Normal;0.0;;53.7;31663.6;23431.1;1688.7;2017-03-01 06:25:00;2017-03-01 06:40:00;false;0.0;0.0;No weather;
2017-03-01 22:01:12;2017-03-02 06:40:02;87%;98%;;0;5718;Normal;0.0;;51.6;31130.1;25526.7;1349.0;2017-03-02 06:25:00;2017-03-02 06:40:00;false;0.0;0.0;No weather;
2017-03-02 22:32:36;2017-03-03 06:40:03;83%;97%;;0;8031;Normal;0.0;;49.7;29247.4;24470.4;2144.8;2017-03-03 06:25:00;2017-03-03 06:40:00;false;0.0;0.0;No weather;Swam
2017-03-03 22:45:12;2017-03-04 09:40:08;88%;89%;;0;4848;Normal;0.0;Woking;53.9;39296.2;34056.7;1178.9;2017-03-04 09:25:00;2017-03-04 09:40:00;false;0.0;0.0;No weather;
2017-03-04 22:57:54;2017-03-05 07:49:30;85%;84%;;0;918;Normal;0.0;;55.8;31896.3;28919.3;850.6;2017-03-05 10:25:00;2017-03-05 10:40:00;false;0.0;0.0;No weather;
2017-03-05 22:01:08;2017-03-06 06:40:30;83%;80%;;0;620;Normal;0.0;Woking;56.4;31161.9;25552.7;2181.3;2017-03-06 06:25:00;2017-03-06 06:40:00;false;0.0;0.0;No weather;
2017-03-06 21:20:02;2017-03-07 06:39:36;84%;87%;;0;8668;Normal;0.0;;58.9;33574.2;27978.5;1790.6;2017-03-07 06:25:00;2017-03-07 06:40:00;false;0.0;0.0;No weather;
2017-03-07 22:04:39;2017-03-08 06:38:41;89%;90%;;0;10738;Normal;0.0;Woking;49.2;30842.1;26215.7;205.6;2017-03-08 06:25:00;2017-03-08 06:40:00;false;0.0;0.0;No weather;
2017-03-08 21:58:12;2017-03-09 06:39:51;91%;96%;;0;5637;Normal;0.0;;47.6;31299.2;28795.3;1147.6;2017-03-09 06:25:00;2017-03-09 06:40:00;false;0.0;0.0;No weather;
2017-03-09 22:09:34;2017-03-10 06:39:52;86%;97%;;0;6246;Normal;0.0;;51.1;30618.5;27862.8;1735.0;2017-03-10 06:25:00;2017-03-10 06:40:00;false;0.0;0.0;No weather;
2017-03-10 23:13:08;2017-03-11 08:57:04;93%;90%;;0;5618;Normal;0.0;;49.0;35035.5;27794.8;233.6;2017-03-11 09:25:00;2017-03-11 09:40:00;false;0.0;0.0;No weather;
2017-03-11 23:04:04;2017-03-12 08:39:49;83%;89%;;0;8765;Normal;0.0;;59.6;34545.3;30630.2;230.3;2017-03-12 09:25:00;2017-03-12 09:40:00;false;0.0;0.0;No weather;
2017-03-12 22:23:04;2017-03-13 06:33:31;70%;82%;;0;630;Normal;0.0;;65.8;29427.1;25797.8;1373.3;2017-03-13 06:25:00;2017-03-13 06:40:00;false;0.0;0.0;No weather;Teaching
2017-03-13 21:53:49;2017-03-14 06:00:09;80%;88%;;0;12349;Normal;0.0;Woking;54.3;29179.7;21787.5;1556.2;2017-03-14 05:45:00;2017-03-14 06:00:00;false;0.0;0.0;No weather;
2017-03-14 22:12:25;2017-03-15 06:45:08;87%;86%;;0;10702;Normal;0.0;;50.6;30763.2;26558.9;205.1;2017-03-15 06:30:00;2017-03-15 06:45:00;false;0.0;0.0;No weather;
2017-03-15 22:19:07;2017-03-16 06:42:38;84%;94%;;0;6177;Normal;0.0;Woking;52.2;30211.2;22859.8;1712.0;2017-03-16 06:30:00;2017-03-16 06:45:00;false;0.0;0.0;No weather;
2017-03-16 22:35:44;2017-03-17 06:48:52;86%;96%;;0;9135;Normal;0.0;Woking;48.1;29588.4;23670.7;1479.4;2017-03-17 06:35:00;2017-03-17 06:50:00;false;0.0;0.0;No weather;Swam
2017-03-17 23:24:56;2017-03-18 09:22:09;85%;89%;;0;5861;Normal;0.0;;58.2;35833.0;30577.5;238.9;2017-03-18 09:15:00;2017-03-18 09:30:00;false;0.0;0.0;No weather;
2017-03-18 23:24:27;2017-03-19 09:28:48;75%;89%;;0;1463;Normal;0.0;Woking;68.1;36260.8;31667.8;846.1;2017-03-19 09:15:00;2017-03-19 09:30:00;false;0.0;0.0;No weather;
2017-03-19 22:19:33;2017-03-20 06:39:46;67%;79%;;0;517;Normal;0.0;Woking;71.9;30013.1;26711.6;1200.5;2017-03-20 06:25:00;2017-03-20 06:40:00;false;0.0;0.0;No weather;Teaching
2017-03-20 22:02:59;2017-03-21 06:45:24;82%;88%;;0;9120;Normal;0.0;;58.5;31344.3;25702.3;2089.6;2017-03-21 06:30:00;2017-03-21 06:45:00;false;0.0;0.0;No weather;Exams:Stressful day
2017-03-21 22:21:05;2017-03-22 06:36:27;92%;87%;;0;8997;Normal;0.0;;43.4;29721.3;25362.2;2476.8;2017-03-22 06:25:00;2017-03-22 06:40:00;false;0.0;0.0;No weather;Exams
2017-03-22 22:45:55;2017-03-23 06:43:04;99%;96%;;0;8827;Normal;0.0;;30.5;28629.8;22331.2;2767.5;2017-03-23 06:30:00;2017-03-23 06:45:00;false;0.0;0.0;No weather;Exams:Stressful day
2017-03-23 22:22:35;2017-03-24 06:39:53;90%;96%;;0;8682;Normal;0.0;;44.7;29837.1;26753.9;1989.1;2017-03-24 06:25:00;2017-03-24 06:40:00;false;0.0;0.0;No weather;Exams
2017-03-25 00:33:36;2017-03-25 09:22:24;97%;84%;;0;6028;Normal;0.0;Woking;43.6;31727.6;26122.4;1269.1;2017-03-25 09:25:00;2017-03-25 09:40:00;false;0.0;0.0;No weather;Exams
2017-03-25 23:30:30;2017-03-26 10:01:54;83%;81%;;0;1108;Normal;0.0;;60.4;34283.3;30855.0;228.6;2017-03-26 10:25:00;2017-03-26 10:40:00;false;0.0;0.0;No weather;
2017-03-26 22:59:27;2017-03-27 06:39:42;69%;72%;;0;98;Normal;0.0;Woking;62.1;27615.1;22276.1;2853.6;2017-03-27 06:25:00;2017-03-27 06:40:00;false;0.0;0.0;No weather;Teaching
2017-03-27 22:27:38;2017-03-28 06:40:00;87%;84%;;0;8098;Normal;0.0;Woking;47.8;29542.0;24913.7;1378.6;2017-03-28 06:25:00;2017-03-28 06:40:00;false;0.0;0.0;No weather;
2017-03-28 22:43:08;2017-03-29 06:40:30;78%;87%;;0;7702;Normal;0.0;;55.4;28641.8;24154.6;1050.2;2017-03-29 06:25:00;2017-03-29 06:40:00;false;0.0;0.0;No weather;Exams
2017-03-29 22:58:07;2017-03-30 06:43:57;87%;97%;;0;9315;Normal;0.0;;42.4;27950.2;21614.9;3074.5;2017-03-30 06:30:00;2017-03-30 06:45:00;false;0.0;0.0;No weather;Exams
2017-03-30 21:56:41;2017-03-31 06:43:38;94%;96%;;0;9382;Normal;0.0;;46.8;31617.2;28982.4;2634.8;2017-03-31 06:30:00;2017-03-31 06:45:00;false;0.0;0.0;No weather;Exams
2017-03-31 23:42:28;2017-04-01 09:25:38;100%;84%;;0;13218;Normal;0.0;;42.2;34989.9;30674.5;233.3;2017-04-01 09:25:00;2017-04-01 09:40:00;false;0.0;0.0;No weather;
2017-04-01 23:46:27;2017-04-02 09:17:21;81%;84%;;0;930;Normal;0.0;;62.2;34254.0;27859.9;228.4;2017-04-02 11:25:00;2017-04-02 11:40:00;false;0.0;0.0;No weather;
2017-04-02 23:51:40;2017-04-03 08:34:08;76%;85%;;0;8;Normal;0.0;Woking;64.9;31347.8;28213.0;209.0;2017-04-03 09:25:00;2017-04-03 09:40:00;false;0.0;0.0;No weather;
2017-04-04 00:26:55;2017-04-04 08:16:59;78%;95%;;0;0;Normal;0.0;Woking;53.2;28204.4;23409.7;1880.3;2017-04-04 12:25:00;2017-04-04 12:40:00;false;0.0;0.0;No weather;
2017-04-05 23:26:10;2017-04-06 07:01:24;68%;87%;;0;4768;Normal;0.0;Woking;62.2;27314.3;21942.5;1912.0;2017-04-06 06:55:00;2017-04-06 07:10:00;false;0.0;0.0;No weather;
2017-04-07 22:59:29;2017-04-08 09:11:14;80%;78%;;0;5000;Normal;0.0;;63.5;36704.5;31688.2;1590.5;2017-04-08 11:55:00;2017-04-08 12:10:00;false;0.0;0.0;No weather;Holiday
2017-04-09 23:14:56;2017-04-10 07:59:50;85%;88%;;0;4264;Normal;0.0;Yaiza;55.9;31494.3;26980.2;1469.7;2017-04-10 07:45:00;2017-04-10 08:00:00;false;0.0;0.0;No weather;Holiday
2017-04-11 23:32:27;2017-04-12 07:58:43;86%;97%;;0;4984;Normal;0.0;;51.5;30375.4;25616.6;2025.0;2017-04-12 07:45:00;2017-04-12 08:00:00;false;0.0;0.0;No weather;Holiday
2017-04-14 03:58:54;2017-04-14 14:04:18;100%;12%;;0;7452;No alarm;0.0;Woking;42.7;36324.4;32086.5;242.2;;;false;0.0;0.0;No weather;Holiday
2017-04-15 01:52:21;2017-04-15 10:00:10;84%;30%;;0;100;No alarm;0.0;Woking;50.3;29268.9;24781.0;195.1;;;false;0.0;0.0;No weather;
2017-04-16 00:55:36;2017-04-16 08:33:34;74%;64%;;0;269;No alarm;0.0;Woking;56.1;27478.0;22532.0;1190.7;;;false;0.0;0.0;No weather;
2017-04-17 00:29:27;2017-04-17 05:53:06;67%;68%;;0;5673;Normal;0.0;;32.2;19419.3;18318.9;1100.4;2017-04-17 05:45:00;2017-04-17 06:00:00;false;0.0;0.0;No weather;
2017-04-17 22:33:53;2017-04-18 06:15:33;58%;78%;;0;1670;Normal;0.0;;76.4;27699.7;21236.4;3878.0;2017-04-18 06:10:00;2017-04-18 06:25:00;false;0.0;0.0;No weather;
2017-04-18 22:13:44;2017-04-19 06:24:45;86%;84%;;0;8623;Normal;0.0;Woking;49.0;29460.4;24746.8;1964.0;2017-04-19 06:10:00;2017-04-19 06:25:00;false;0.0;0.0;No weather;
2017-04-19 20:56:27;2017-04-20 06:05:32;89%;88%;;0;8142;Normal;0.0;;55.0;32945.1;24708.8;1976.7;2017-04-20 05:50:00;2017-04-20 06:05:00;false;0.0;0.0;No weather;
2017-04-20 21:30:45;2017-04-21 06:12:55;87%;92%;;0;10219;Normal;0.0;;53.4;31329.5;26107.9;2610.8;2017-04-21 06:00:00;2017-04-21 06:15:00;false;0.0;0.0;No weather;Swam
2017-04-21 21:43:46;2017-04-22 06:44:42;86%;92%;;0;5596;Normal;0.0;Woking;58.0;32456.2;24342.2;1081.9;2017-04-22 06:30:00;2017-04-22 06:45:00;false;0.0;0.0;No weather;
2017-04-22 22:43:48;2017-04-23 07:36:19;84%;91%;;0;8426;Normal;;Woking;58.1;31951.1;26625.9;1597.6;2017-04-23 07:40:00;2017-04-23 07:55:00;true;0.0;0.0;No weather;
2017-04-23 21:42:22;2017-04-24 06:19:40;88%;86%;;0;878;Normal;;;51.5;31038.6;26796.7;1138.1;2017-04-24 06:05:00;2017-04-24 06:20:00;true;0.0;0.0;No weather;Teaching
2017-04-24 21:24:01;2017-04-25 06:19:54;100%;88%;;0;9473;Normal;;Woking;42.0;32152.6;25829.3;1393.3;2017-04-25 06:05:00;2017-04-25 06:20:00;true;0.0;0.0;No weather;
2017-04-25 21:44:45;2017-04-26 06:25:20;91%;92%;;0;7907;Normal;;;49.8;31235.3;24259.4;1145.3;2017-04-26 06:10:00;2017-04-26 06:25:00;true;0.0;0.0;No weather;
2017-04-26 21:57:29;2017-04-27 06:34:45;90%;97%;;0;7981;Normal;;Woking;49.7;31035.9;27208.1;1862.2;2017-04-27 06:20:00;2017-04-27 06:35:00;true;0.0;0.0;No weather;
2017-04-27 22:08:05;2017-04-28 06:33:41;90%;97%;;0;9448;Normal;;;47.9;30336.2;25280.2;1921.3;2017-04-28 06:20:00;2017-04-28 06:35:00;true;0.0;0.0;No weather;Swam
2017-04-28 22:43:16;2017-04-29 07:44:35;100%;94%;;0;5848;Normal;;Woking;42.0;32479.6;30530.8;216.5;2017-04-29 08:20:00;2017-04-29 08:35:00;true;0.0;0.0;No weather;
2017-04-29 22:51:51;2017-04-30 08:30:57;99%;92%;;0;3002;Normal;;Woking;45.1;34746.0;33356.2;1389.8;2017-04-30 08:20:00;2017-04-30 08:35:00;true;0.0;10.3;Cloudy;
2017-04-30 22:54:07;2017-05-01 08:30:20;96%;92%;;0;605;Normal;;;47.6;34573.3;29502.6;1959.2;2017-05-01 08:20:00;2017-05-01 08:35:00;true;0.0;0.0;No weather;Teaching
2017-05-01 21:42:20;2017-05-02 06:19:47;78%;88%;;0;88;Normal;;;61.6;31046.4;25251.1;2276.7;2017-05-02 06:05:00;2017-05-02 06:20:00;true;0.0;0.0;No weather;
2017-05-02 21:09:29;2017-05-03 06:06:10;80%;88%;;0;16232;Normal;;Woking;62.5;32201.3;29088.5;214.7;2017-05-03 05:55:00;2017-05-03 06:10:00;true;0.0;0.0;No weather;
